name,download_url,author,author_url,dataset,source_url,resolution,config,license,implementation,Notes
car (config-e),http://d36zk2xti64re0.cloudfront.net/stylegan2/networks/stylegan2-car-config-e.pkl,NVIDIA,,LSUN Cat,https://github.com/NVlabs/stylegan2,512x384,e,Nvidia Source Code License-NCNvidia Source Code License-NC,https://github.com/NVlabs/stylegan2,
car (config-f),http://d36zk2xti64re0.cloudfront.net/stylegan2/networks/stylegan2-car-config-f.pkl,NVIDIA,,LSUN Cat,https://github.com/NVlabs/stylegan2,512x384,f,Nvidia Source Code License-NC,https://github.com/NVlabs/stylegan2,
cat,http://d36zk2xti64re0.cloudfront.net/stylegan2/networks/stylegan2-cat-config-f.pkl,NVIDIA,,LSUN Cat,https://github.com/NVlabs/stylegan2,256x256,f,Nvidia Source Code License-NC,https://github.com/NVlabs/stylegan2,
church,http://d36zk2xti64re0.cloudfront.net/stylegan2/networks/stylegan2-church-config-f.pkl,NVIDIA,,LSUN Church,https://github.com/NVlabs/stylegan2,256x256,f,Nvidia Source Code License-NC,https://github.com/NVlabs/stylegan2,
FFHQ (config-e),http://d36zk2xti64re0.cloudfront.net/stylegan2/networks/stylegan2-ffhq-config-e.pkl,NVIDIA,,FFHQ,https://github.com/NVlabs/stylegan2,1024x1024,e,Nvidia Source Code License-NC,https://github.com/NVlabs/stylegan2,
FFHQ (config-f),http://d36zk2xti64re0.cloudfront.net/stylegan2/networks/stylegan2-ffhq-config-f.pkl,NVIDIA,,FFHQ,https://github.com/NVlabs/stylegan2,1024x1024,f,Nvidia Source Code License-NC,https://github.com/NVlabs/stylegan2,
horse,http://d36zk2xti64re0.cloudfront.net/stylegan2/networks/stylegan2-horse-config-f.pkl,NVIDIA,,LSUN Horse,https://github.com/NVlabs/stylegan2,256x256,f,Nvidia Source Code License-NC,https://github.com/NVlabs/stylegan2,
Imagenet,https://battle.shawwn.com/sdc/stylegan2-imagenet-512/model.ckpt-533504.pkl,Shawn Presser,,Image net,https://twitter.com/theshawwn/status/1244081581347598341,512x512,Unknown,Unknown,Unknown,Trained using TPUs
WikiArt,https://archive.org/download/wikiart-stylegan2-conditional-model/network-snapshot-012052.pkl,Peter Baylies,https://twitter.com/pbaylies,WikiArt,,Unknown,Unknown,Unknown,https://github.com/pbaylies/stylegan2,Conditional
Anime portraits,https://mega.nz/#!PeIi2ayb!xoRtjTXyXuvgDxSsSMn-cOh-Zux9493zqdxwVMaAzp4,Aaron Gokaslan,https://skylion007.github.io/,Danboru,https://www.gwern.net/Faces#stylegan-2,512x512,f,Unknown,Unknown,
microscope images,https://mega.nz/#!PbgzWTZT!JbVpqgMU7AOg-sQUoG1BDepuwKtgAsLgjd4YwlTXlpc,Michael Friesen,https://twitter.com/MichaelFriese10,Unknown,https://twitter.com/MichaelFriese10/status/1230906267960401920?s=20,1024x1024,Unknown,Unknown,Unknown,
wildlife,https://mega.nz/#!rewlECYI!YxVxdCKoeauEbiPKt92otVVHZBOiI-KkZMr0cvKHBdg,Michael Friesen,https://twitter.com/MichaelFriese10,Unknown,https://twitter.com/MichaelFriese10/status/1215364932088123392?s=20,Unknown,Unknown,Unknown,Unknown,
modern art,https://mega.nz/#!TCgSVCTa!ZmcV381soxyqiQyHO4p60F5ogoHcaO1PqDF9ZuiHVQw,Michael Friesen,https://twitter.com/MichaelFriese10,Unknown,https://twitter.com/MichaelFriese10/status/1213697331427545088?s=20,Unknown,Unknown,Unknown,Unknown,
trypophobia,https://drive.google.com/uc?id=12yYXZymadSIj74Yue1Q7RrlbIqrXggo3, Sid Black, https://twitter.com/realmeatyhuman,https://drive.google.com/file/d/1u_fLHmO6JuJlBTQIKRGgl4PeBKbBu9GJ/view, https://twitter.com/realmeatyhuman/status/1255240894049067008,1024x1024,f,Nvidia Source Code License-NC,https://github.com/NVlabs/stylegan2,
